id,title,description,url,genre,platform,publisher,developer,release_date
330,Lineage 2,A 3D fantasy MMORPG with a strong emphasis on PvP.,https://www.freetogame.com/open/lineage-2,MMORPG,PC (Windows),NCSoft,NCSoft,27/04/04
332,Red Stone Online,A free to play 2D old school isometric MMORPG similar to Diablo.,https://www.freetogame.com/open/red-stone-online,MMORPG,PC (Windows),"L＆K CO., LTD","L＆K CO., LTD",06/10/03
333,Metin2,A classic free to play 3D MMORPG with a retro feel.,https://www.freetogame.com/open/metin2,MMORPG,PC (Windows),Gameforge,Ymir Entertainment,17/12/06
334,Mu Online,A free to play Dungeon Crawler game like Diablo!,https://www.freetogame.com/open/mu-online,MMORPG,PC (Windows),Webzen,Webzen,06/10/03
335,Ragnarok Online,"A popular fantasy MMORPG, back to the golden age of MMORPGs.",https://www.freetogame.com/open/ragnarok-online,MMORPG,PC (Windows),Gravity Interactive ,Gravity Interactive ,01/06/03
336,Anarchy Online,A free to play Sci-Fi MMO that has withstood the test of time.,https://www.freetogame.com/open/anarchy-online,MMORPG,PC (Windows),Funcom,Funcom,27/06/01
337,Priston Tale,A free to play action-oriented fantasy MMORPG!,https://www.freetogame.com/open/priston-tale,MMORPG,PC (Windows),Suba Games,Trglow Pictures,17/05/07
339,Tibia,"A old-school free-to-play massively multiplayer online 
role-playing game.",https://www.freetogame.com/open/tibia,MMORPG,PC (Windows),CipSoft,CipSoft,07/01/97
340,Game Of Thrones Winter Is Coming,A free-to-play browser-based RTS based on the George R.R. Martin novels and popular HBO series.,https://www.freetogame.com/open/game-of-thrones-winter-is-coming,Strategy,Web Browser,GTArcade,YOOZOO Games ,14/11/19
341,League of Angels 3,"A free-to-play turn-based strategy browser game developed and published by GTArcade Entertainment, Inc.",https://www.freetogame.com/open/league-of-angels-3,MMORPG,Web Browser,GTArcade Entertainment,GTArcade Entertainment,14/08/18
343,Dragon Awaken,"A free-to-play, browser-based fantasy RPG developed 
by Game Hollywood and published by 
Proficient City.",https://www.freetogame.com/open/dragon-awaken,MMORPG,Web Browser,Proficient city,Game Hollywood,03/01/17
344,Omega Zodiac,A Greek and Norse mythology based free-to-play action MMO developed and published by Proficient City and Game Hollywood.,https://www.freetogame.com/open/omega-zodiac,MMORPG,Web Browser,Proficient City,Game Hollywood,25/08/16
345,Forge of Empires,"A free to play 2D browser-based online strategy game, become the leader and raise your city.",https://www.freetogame.com/open/forge-of-empires,Strategy,Web Browser,InnoGames,InnoGames,17/04/12
346,One Piece Online 2,"A free-to-play, browser-based 2D MMORPG based on the immensely popular One Piece franchise.",https://www.freetogame.com/open/one-piece-online-2,MMORPG,Web Browser,JoyGames,JoyGames,25/09/15
347,Elvenar,A browser based city-building strategy MMO set in the fantasy world of Elvenar.,https://www.freetogame.com/open/elvenar,Strategy,Web Browser,InnoGames,InnoGames,08/04/15
348,Bleach Online,"A free to play 2D browser based MMORPG based on Bleach, the popular manga and anime series.",https://www.freetogame.com/open/bleach-online,MMORPG,Web Browser,GoGames,GoGames,14/07/14
349,Big Farm,A friendly browser-based farming simulation MMO game!,https://www.freetogame.com/open/big-farm,Strategy,Web Browser,GoodGame Studios,GoodGame Studios,29/10/12
350,Goodgame Empire,A free to play medieval strategy browser game. Build you own castle and create a powerful army! ,https://www.freetogame.com/open/goodgame-empire,Strategy,Web Browser,Goodgame Studios,Goodgame Studios,14/08/11
351,Grand Prix Racing Online,A free-to-play web-based motorsport management game.,https://www.freetogame.com/open/gpro,Strategy,Web Browser,GPRO.net,GPRO.net,01/08/06
352,Travian,"A popular browser-based multiplayer online strategy 
game.",https://www.freetogame.com/open/travian,Strategy,Web Browser,Travian Games,Travian Games,05/09/04
353,Stein.world,"A free-to-play, browser-based online fantasy role 
playing game done in an old-school 
16-bit style.",https://www.freetogame.com/open/steinworld,MMORPG,Web Browser,PG5-Studio UG,PG5-Studio UG,24/04/19
354,Gods Origin Online,A free-to-play browser-based RPG from VivaGames in which players take on the role of human summoners that call deities from the Astral Realm back in time. ,https://www.freetogame.com/open/gods-origin,MMORPG,Web Browser,VivaGame,VivaGame,29/08/17
355,Chronicles of Eidola,A free-to-play 3D Browser RPG from AMZGame.,https://www.freetogame.com/open/chronicles-of-eidola,MMORPG,Web Browser,AMZ Games,AMZ Games,10/04/17
357,Vikings: War Of Clans,A free-to-play MMO strategy game developed and published by Plarium.,https://www.freetogame.com/open/vikings-war-of-clans,Strategy,Web Browser,Plarium,Plarium,15/04/15
365,Naruto Online,"A free-to-play MMO based on the popular anime series and manga, developed 
by Bandai Namco Entertainment. ",https://www.freetogame.com/open/naruto-online,MMORPG,Web Browser,OAS Games,Bandai Namco,20/07/16
370,Dragon Blood,"A free-to-play browser MMORPG from 101XP, you'll harness your unique power and the blood of dragons that flows through your veins! ",https://www.freetogame.com/open/dragon-blood,MMORPG,Web Browser,101XP,101XP,16/04/16
371,League of Angels 2,A free to play browser MMORPG that captures all the beauty and elegance of its predecessor.,https://www.freetogame.com/open/league-angels-2,MMORPG,Web Browser,GTArcade,GTArcade,06/04/16
373,StarColony,A free-to-play browser MMO strategy game that puts you in command of a rapidly growing city on a dangerous alien world.,https://www.freetogame.com/open/starcolony,Strategy,Web Browser,Eiyland LLC,Eiyland LLC,01/01/15
374,Clash of Avatars,"A free to play 3D browser MMORPG with powerful Avatars, 50 mounts, 
and several loyal pets.",https://www.freetogame.com/open/clash-of-avatars,MMORPG,Web Browser,AMZgame,AMZgame,19/01/16
376,League of Angels,A free to play 2D browser-based fantasy MMORPG with turn-based combat.,https://www.freetogame.com/open/league-of-angels,MMORPG,Web Browser,GTArcade,Youzu Interactive,10/12/13
380,Dark Orbit Reloaded,A browser-based 3D space-combat MMO with a massive playerbase!,https://www.freetogame.com/open/darkorbit,Shooter,Web Browser,Bigpoint,Bigpoint,11/12/06
383,Legends of Honor,A free to play browser based medieval fantasy 2D MMORTS.,https://www.freetogame.com/open/legends-of-honor,Strategy,Web Browser,Goodgame Empire,Goodgame Studios,20/08/15
384,Felspire,A free-to-play 2D browser-based fantasy MMORPG with plenty of dungeons and world bosses to slay.,https://www.freetogame.com/open/felspire,MMORPG,Web Browser,37Games,37Games Entertainment,07/08/15
386,Aberoth,A free to play 8-bit MMORPG with retro graphics and MUD-like interface.,https://www.freetogame.com/open/aberoth, MMORPG,Web Browser,Jarbit,Jarbit,17/07/15
388,Lord’s Road,A free-to-play 2D browser-based fantasy MMORPG that features two playable classes.,https://www.freetogame.com/open/lords-road,MMORPG,Web Browser,AMZGame,AMZGame,03/06/15
391,Star Trek: Alien Domain,A free to play browser based 2D strategy MMO set in the Stark Trek universe.,https://www.freetogame.com/open/star-trek-alien-domain,Strategy,Web Browser,GameSamba,GameSamba,07/04/15
394,One Piece Online,One Piece Online is a 2D Tower Defense Action MMO! ,https://www.freetogame.com/open/one-piece-online,MMORPG,Web Browser,JoyGames,JoyGames,22/01/15
399,Siegelord,A free to play 2D medieval fantasy browser-based MMORTS.,https://www.freetogame.com/open/siegelord,Strategy,Web Browser,37Games Entertainment,37Games Entertainment,19/12/14
404,Tribal Wars 2,The sequel to the classic city-building strategy game Tribal Wars! ,https://www.freetogame.com/open/tribal-wars-2,Strategy,Web Browser,InnoGames,InnoGames,02/09/14
405,Pocket Starships,A free-to-play cross-platform space combat MMO from SPYR games.,https://www.freetogame.com/open/pocket-starships,Strategy,Web Browser,Spyr,Spyr,2014-03-00
409,Sparta: War of Empires,A 2D browser-based MMORTS in which players must exercise their city-management skills to construct and upgrade different structures and troops.,https://www.freetogame.com/open/sparta-war-empires,Strategy,Web Browser,Plarium,Plarium,13/03/14
411,Soldiers Inc.,A free to play 2D top-down browser based MMORTS game.,https://www.freetogame.com/open/soldiers-inc,Strategy,Web Browser,Plarium Games,Plarium Games,01/08/13
412,Nords: Heroes of the North,"A free to play browser-based 2D strategy MMO game with Elves, Orcs, Dragons and more.",https://www.freetogame.com/open/nords-heroes-north,Strategy,Web Browser,Plarium Games,Plarium Games,01/08/13
414,Rail Nation,A free to play 2D browser-based train simulation strategy MMO game.,https://www.freetogame.com/open/rail-nation,Strategy,Web Browser,Bright Future,Travian Games,13/01/13
415,Stormfall: Age of War,"A free to play 2D top-down browser MMORTS featuring castle building, resource management and PvP battles.",https://www.freetogame.com/open/stormfall-age-war,Strategy,Web Browser,Plarium,Plarium,01/11/12
416,Wartune,A 2D browser-based Strategy MMORPG with classic turn based RPG features.,https://www.freetogame.com/open/wartune,MMORPG,Web Browser,R2 Games,7Th Road,25/10/12
417,Dino Storm,"A free-to-play 3D MMO with cowboys, dinosaurs, and laser guns.",https://www.freetogame.com/open/dino-storm,MMORPG,Web Browser,Splitscreen S.,Splits. S,12/09/12
418,The Settlers Online,A free to play city building MMORTS based on the popular Settlers series.,https://www.freetogame.com/open/the-settlers-online,Strategy,Web Browser,Ubisoft,Blue Byte,11/09/12
421,Therian Saga,A browser-based sandbox MMORPG with a complex crafting system.,https://www.freetogame.com/open/therian-saga,MMORPG,"PC (Windows), Web Browser",Gameforge,Virtys,27/03/17
422,Pirates: Tides of Fortune,A free to play browser-based 2D MMORTS for people who are fans of pirates!,https://www.freetogame.com/open/pirates-tides-fortune,Strategy,Web Browser,Plarium Games,Plarium Games,12/02/12
423,Steel Legions,A free to play 3d browser based tank game with fast-paced tactical battles! ,https://www.freetogame.com/open/steel-legions,Shooter,Web Browser,Splitscreen Studios,Splitscreen Studios,15/06/11
424,Crystal Saga,A free to play 2D browser-based MMORPG that allows players to explore the land of Vidalia.,https://www.freetogame.com/open/crystal-saga,MMORPG,Web Browser,"Aeria, R2Games",R2Games,20/11/13
425,Grepolis,A free to play browser-based strategy MMORTS set in Ancient Greece.,https://www.freetogame.com/open/grepolis,Strategy,Web Browser,InnoGames,InnoGames,08/12/09
426,AdventureQuest Worlds,A free-to-play 2D fantasy browser MMORPG. There are no downloads or software to install! ,https://www.freetogame.com/open/adventurequest-worlds,MMORPG,Web Browser,Artix Entertainment,Artix Entertainment,10/10/08
427,Drakensang Online,A free to play browser-based top-down hack-and-slash 3D MMORPG similar to games in the Diablo series.,https://www.freetogame.com/open/drakensang-online,MMORPG,Web Browser,Bigpoint,Bigpoint,08/08/11
428,Ikariam,A free to play browser-based city-building strategy game by GameForge.,https://www.freetogame.com/open/ikariam,Strategy,Web Browser,GameForge,GameForge,31/03/08
429,Astro Empires,A text-based sci-fi strategy and diplomacy MMO Game in a persistent universe.,https://www.freetogame.com/open/astro-empires,Strategy,Web Browser,Cybertopia,Cybertopia,20/05/06
430,Urban Rivals,A free to play browser based card-game with a high player base and comic-book inspired world!,https://www.freetogame.com/open/urban-rivals,Card Game,Web Browser,Boostr ,Acute Mobile,17/01/06
431,Imperia Online,"A 2D free-to-play browser-based Medieval MMORTS, Train soldiers and raise an Empire.",https://www.freetogame.com/open/imperia-online,Strategy,Web Browser,Imperia Online Ltd.,Imperia Online Ltd.,23/08/05
432,Habbo,One of the largest and most popular Social MMO.,https://www.freetogame.com/open/habbo,Social,Web Browser,Sulake Corporation,Sulake Corporation,26/09/01
433,RuneScape,A popular 3D browser MMORPG boasting a huge player base and 15 years of content.,https://www.freetogame.com/open/runescape,MMORPG,"PC (Windows), Web Browser",Jagex,Jagex,04/01/01
434,Will To Live,A free-to-play MMORPG-shooter developed and published by AlphaSoft LLC.,https://www.freetogame.com/open/will-to-live,MMORPG,PC (Windows),AlphaSoft LLC,AlphaSoft LLC,05/04/18
436,Inferna,"A cross-platform MMO from indie developer and publisher Inferna Limited, designed for players seeking a classic experience.  ",https://www.freetogame.com/open/inferna,MMORPG,PC (Windows),INFERNA LIMITED,INFERNA LIMITED,21/12/19
437,Stay Out,An MMORPG featuring urban exploration and shooter elements.,https://www.freetogame.com/open/stay-out,Shooter,PC (Windows),Mobile Technologies LLC,Mobile Technologies LLC,27/11/19
438,Kards,A free-to-play collectible World War II card game from developer 1939 Games.,https://www.freetogame.com/open/kards,Card Game,PC (Windows),1939 Games,1939 Games,12/04/19
439,PC Futbol Legends,An arcade soccer game inspired by cult arcade games from IDC games. ,https://www.freetogame.com/open/futbol-legends,Sports,PC (Windows),IDG GAmes,IDG GAmes,01/11/19
440,Vampire Empire,A multiplayer strategy game that focuses on the war between vampires and werewolves. ,https://www.freetogame.com/open/vampire-empire,Strategy,Web Browser,R2 Games,F5 Game Company,07/11/19
441,Legends of Runeterra,A free-to-play CCG based on Riot Games' MOBA League of Legends.,https://www.freetogame.com/open/runeterra,Card Game,PC (Windows),Riot Games,Riot Games,24/01/20
443,Ultimate Pirates,A browser-based strategy MMO published for both desktop and mobile browsers by Gameforge.  ,https://www.freetogame.com/open/ultimate-pirates,Strategy,Web Browser,Gameforge,Moonmana,02/12/19
446,Legends of Aria,"A sandbox MMORPG featuring a skill-based system, content that will appeal to both PvE and PvP players, and a robust housing system.",https://www.freetogame.com/open/legends-of-aria,MMORPG,PC (Windows),Citadel Studios Inc,Citadel Studios Inc,07/08/19
447,Dota Underlords,A free-to-play auto battler strategy game set in the world of Valve's Dota franchise.,https://www.freetogame.com/open/dota-underlords,Strategy,PC (Windows),Valve,Valve,21/06/19
448,KurtzPel,A free-to-play third-person action battle game from KOG Games.,https://www.freetogame.com/open/kurtzpel,Fighting,PC (Windows),KOG,KOG,30/04/19
449,Albion Online,A free-to-play cross-platform sandbox MMO developed and published by Sandbox Interactive GmbH. ,https://www.freetogame.com/open/albion-online,MMORPG,PC (Windows),Sandbox Interactive GmbH,Sandbox Interactive GmbH,17/07/17
450,Battlerite Royale,A free to play battle royale set in the Battlerite universe.,https://www.freetogame.com/open/battlerite-royale,MOBA,PC (Windows),Stunlock Studios,Stunlock Studios,26/09/18
451,Crystal Clash,A free-to-play fantasy RTS developed by Crunchy Leaf Games. ,https://www.freetogame.com/open/crystal-clash,Strategy,PC (Windows),Crunchy Leaf Games,Crunchy Leaf Games,30/08/19
452,Call of Duty: Warzone,A standalone free-to-play battle royale and modes accessible via Call of Duty: Modern Warfare.,https://www.freetogame.com/open/call-of-duty-warzone,Shooter,PC (Windows),Activision,Infinity Ward,10/03/20
453,Gotham City Impostors,A free to play multiplayer FPS that pits vigilantes dressed up like Batman against criminals dressed up like the Joker,https://www.freetogame.com/open/gotham-city-impostors,Shooter,PC (Windows),Warner Bros. Interactive Entertainment,"Monolith Productions, Inc.",31/08/12
454,Magic: The Gathering Arena,A free-to-play digital recreation of Wizards of the Coast's popular collectible card game.,https://www.freetogame.com/open/mtg-arena,Card Game,PC (Windows),Wizards of the Coast,Wizards of the Coast,27/09/18
455,Eternal Fury,A free-to-play ARPG from R2 Games!,https://www.freetogame.com/open/eternal-fury,MMORPG,Web Browser,R2 Games,R2 Games,21/05/19
456,Conqueror's Blade,"Command your own medieval army in Conqueror's Blade, a war simulator developed by Booming games.",https://www.freetogame.com/open/conquerors-blade,Strategy,PC (Windows),Booming Games,Booming Games,30/05/19
457,The Third Age,A free-to-play browser-based Strategy MMO game focused on story-based PvE gameplay!,https://www.freetogame.com/open/the-third-age,Strategy,Web Browser,R2 Games,R2 Games,29/04/19
458,League of Angels - Heaven's Fury,"A free-to-play, browser-based fantasy online action RPG based loosely on Western mythology!",https://www.freetogame.com/open/league-of-angels-heavens-fury,MMORPG,Web Browser,Gtarcade,Yoozoo Games,09/01/20
459,Bombergrounds: Battle Royale,A free-to-play massively multiplayer battle Royale game inspired by the old-shool Bomberman games!,https://www.freetogame.com/open/bombergrounds-battle-royale,Battle Royale,PC (Windows),Giant Duck Games,Giant Duck Games,07/03/20
460,Empire: World War 3,A free-to-play browser-based action packed strategy game from the developer of Legends of Honor.,https://www.freetogame.com/open/empireww3,Strategy,Web Browser,Goodgame Studios,Goodgame Studios,28/06/18
461,Shop Titans,A free-to-play RPG shopkeeper simulation game where you are responsible for designing and maintaining your own shop.,https://www.freetogame.com/open/shop-titans,Strategy,PC (Windows),"Kabam Games, Inc.","Kabam Games, Inc.",05/05/20
463,Survivor Legacy,Survivor Legacy is a free-to-play zombie-themed strategy game from R2 Games.,https://www.freetogame.com/open/survivor-legacy,Strategy,Web Browser,R2 Games,GameHollywood,07/04/20
466,Valorant,Test your mettle in Riot Games’ character-based FPS shooter Valorant.,https://www.freetogame.com/open/valorant,Shooter,PC (Windows),Riot Games,Riot Games,02/06/20
467,Phantasy Star Online 2,"Welcome to ARKS, and elite task force searching dangerous planets for the corrupted Falspawn in Phantasy Star 2 Online, Sega’s popular, free-to-play sci-fi MMORPG.",https://www.freetogame.com/open/pso2,MMORPG,PC (Windows),SEGA,SEGA,27/05/20
468,Firestone Idle RPG,"Set in the fantasy world of Alandria, Firestone is an idle RPG in which players are tasked with building the best possible party of heroes and using them to defeat the undead and orcs that plague the world.",https://www.freetogame.com/open/firestone-idle-rpg,Strategy,Web Browser,Holyday Studios,Holyday Studios,26/09/19
469,Unfortunate Spacemen,"Unfortunate Spacemen is a co-op multiplayer game about Shapeshifting with a Co-op Story Mode, lots of objectives and more!",https://www.freetogame.com/open/unfortunate-spacemen,Shooter,PC (Windows),New Blood Interactive,Geoff 'Zag' Keene,12/06/20
471,Armor Valor,Build your empire with the help of mythical heroes and well thought out strategy in R2 Games’ strategy RPG Armor Valor.,https://www.freetogame.com/open/armor-valor,Strategy,Web Browser,R2 Games,R2 Games,20/07/20
472,Jade Goddess,"Jade Goddess is a free-to-play, browser based MMO inspired by Eastern mythology.",https://www.freetogame.com/open/jade-goddess,MMORPG,Web Browser,101XP,101XP,15/06/20
473,Spellbreak,"Spellbreak is a multiplayer, multi-platform battle-royale where player take on the role of a “battlemage” mastering elemental magic and using spells to compete against other players.",https://www.freetogame.com/open/spellbreak,Battle Royale,PC (Windows),Proletariat,Proletariat,04/09/20
474,Rocket League,Get your car-soccer gaming on for free with Psyonix’s Rocket League. The popular competitive multi-player game is a popular offering with over 57 million players.,https://www.freetogame.com/open/rocket-league,Sports,PC (Windows),Psyonix LLC,Psyonix LLC,24/09/20
475,Genshin Impact,"If you’ve been looking for a game to scratch that open-world action RPG itch, one with perhaps a bit of Asian flair, then you’re going to want to check out miHoYo’s Genshin Impact.",https://www.freetogame.com/open/genshin-impact,Action RPG,PC (Windows),miHoYo,miHoYo,28/09/20
476,Rogue Company,"From Hi-Rez Studios, the team that brought you Smite and Paladins, comes Rogue Company, a cross-platform, competitive team-based third person shooter.",https://www.freetogame.com/open/rogue-company,Shooter,PC (Windows),Hi-Rez Studios,First Watch Games,01/10/20
477,Eternal Return: Black Survival,"Combining elements from battle royale, MOBA, and the survival genres, Eternal Return: Black Survival is a game designed with a broad audience in mind. ",https://www.freetogame.com/open/eternal-return,MOBA,PC (Windows),Nimble Neuron,Nimble Neuron,14/10/20
479,Blood of Steel,"Blood of Steel is an online competitive strategy game featuring some of the most well-known figures throughout medieval history. Choose your general – a Crusader, Viking, Ninja or one of those from the Three Kingdoms. Build your kingdom and command armies in epic PvP battles using classic medieval warfare tactics.",https://www.freetogame.com/open/blood-of-steel,Strategy,PC (Windows),YC Games,YC Games,20/10/20
498,Blankos Block Party,"What happens when you take the vinyl collectible toy experience and combine it with an open-world multiplayer game? You get Blankos Block Party!
",https://www.freetogame.com/open/blankos,MMO,PC (Windows),Third Kind Games,Mythical Games Inc,11/12/20
499,Slapshot: Rebound,"Do you like hockey? How about physic-based multiplayer, arcade-style sports games with cute graphics? Well, this is the one for you.",https://www.freetogame.com/open/slapshot-rebound,Sports,PC (Windows),Oddshot Games,Oddshot Games,07/12/20
500,Chroma: Bloom And Blight,"Competitive card game fans have a new, completely free option to add to their list. ",https://www.freetogame.com/open/chroma-bloom-and-blight,Card Game,PC (Windows),WhisperGames,Clarity Games,28/01/21
502,Primordials: Battle of Gods,Build armies and fight for control of the realm in Global Dodo Entertainment’s 1v1 strategy game Primordials: Battle of Gods. ,https://www.freetogame.com/open/primordials-battle-of-gods,Strategy,PC (Windows),Wire Games,Global Dodo Entertainment,04/03/21
503,Artifact,"Valve’s Artifact is two games in one. Whether you’re looking for the original Dota 2 trading card game created with the help of card game designer Richard Garfield or something a little more streamlined, Artifact has both in one download.",https://www.freetogame.com/open/artifact,Card Game,PC (Windows),Valve,Valve,29/11/18
505,Mythgard,"Rhino Games Inc.’s CCG Mythgard combines cyberpunk with the heroes, gods, and creatures of the fantasy in a modern setting to create a world where magic competes against technology for control.",https://www.freetogame.com/open/mythgard,Card Game,PC (Windows),Rhino Games Inc.,Rhino Games Inc.,18/09/19
506,Totally Accurate Battlegrounds,"Take 60 players, throw them on a map together with over 90 weapons, including balloon crossbows, pots and pans, and inflatable hammers, add physics-based parkour and you have Landfall’s Totally Accurate Battlegrounds (TABG).",https://www.freetogame.com/open/tabg,Shooter,PC (Windows),Landfall,Landfall,06/06/18
507,Super Mecha Champions,"Super Mecha Champions is a PC port of the mobile anime PvP game from NetEease, featuring a variety of modes but focusing on battle royale.",https://www.freetogame.com/open/super-mecha-champions,Shooter,PC (Windows),NetEase Games,NetEase Games,25/03/21
508,Enlisted,Get ready to command your own World War II military squad in Gaijin and Darkflow Software’s MMO squad-based shooter Enlisted. ,https://www.freetogame.com/open/enlisted,Shooter,PC (Windows),Gaijin Entertainment,Darkflow Software,08/04/21
509,Smash Legends,Classic fairy tales get wild with 5minlab and LINE Games Corporation’s brawl-action game Smash Legends.,https://www.freetogame.com/open/smash-legends,Fighting,PC (Windows),LINE Games Corporation,5minlab,13/04/21
511,Phantasy Star Online 2 New Genesis,The legacy of Phantasy Star Online 2 continues a thousand years later!,https://www.freetogame.com/open/pso2-new-genesis,MMORPG,PC (Windows),Sega,Sega,09/06/21
512,Sherwood Extreme,High action arcade shooter Sherwood Extreme sends players on a mission to save the kingdom!,https://www.freetogame.com/open/sherwood-extreme,Shooter,PC (Windows),CAGE Studios,CAGE Studios,12/05/21
513,Super Squad,Prepare yourself. It’s time for Mayhem. Super Squad is a multi-player online shoot-’em-up (or MOSH)!,https://www.freetogame.com/open/super-squad,MOBA,PC (Windows),Bad Fox Studios,Bad Fox Studios,25/06/21
515,Halo Infinite,"For the first time ever, a free-to-play Halo experience is available in the form of Halo Infinite’s multiplayer.",https://www.freetogame.com/open/halo-infinite,Shooter,PC (Windows),Xbox Game Studios,343 Industries,15/11/21
516,PUBG: BATTLEGROUNDS,Get into the action in one of the longest running battle royale games PUBG Battlegrounds.,https://www.freetogame.com/open/pubg,Shooter,PC (Windows),"KRAFTON, Inc.","KRAFTON, Inc.",12/01/22
517,Lost Ark,"Smilegate’s free-to-play multiplayer ARPG is a massive adventure filled with lands waiting to be explored, people waiting to be met, and an ancient evil waiting to be destroyed.",https://www.freetogame.com/open/lost-ark,ARPG,PC (Windows),Amazon Games,Smilegate RPG,11/02/22
520,Roller Champions,"What if you could player roller derby, but in a more organized and less physically dangerous environment?",https://www.freetogame.com/open/roller-champions,Sports,PC (Windows),Ubisoft,Ubisoft,25/05/22
521,Diablo Immortal,"Built for mobile and also released on PC, Diablo Immortal fills in the gaps between Diablo II and III in an MMOARPG environment.",https://www.freetogame.com/open/diablo-immortal,MMOARPG,PC (Windows),Blizzard Entertainment,Blizzard Entertainment,02/06/22
522,Flyff Universe,Get the full Flyff experience on any platform with the free-to-play browser-based MMORPG Flyff Universe.,https://www.freetogame.com/open/flyff-universe,MMORPG,Web Browser,Gala Lab,Gala Lab,14/06/22
523,Fall Guys,Play the most competitive massively multiplayer party royale game featuring beans ever for free on a variety of platforms. ,https://www.freetogame.com/open/fall-guys,Battle Royale,PC (Windows),Mediatonic,Mediatonic,04/08/20
524,Temperia: Soul of Majestic,"Fans of collectible card games, are you looking for something a bit different from the normal fare? Then a peek at Moonwolf Entertainment and A2 Softworks’ Temperia: Soul of Majestic might be in order.",https://www.freetogame.com/open/temperia,Card Game,PC (Windows),Leonardo Interactive,"MoonWolf Entertainment, A2 Softworks",26/07/22
526,Chimeraland,"Explore the open-world sandbox MMO game set in a mythical world. Play as one of a large number of races, from jelly-fish to dragon-person – or even a regular old human if that’s your thing. Explore the land, gather resources, craft items, build homes and more.",https://www.freetogame.com/open/chimeraland,MMORPG,PC (Windows),Level Infinite,Pixel soft,14/07/22
527,Aero Tales Online,Aero Tales Online: The World is a free-to-play 3D anime-style MMORPG with PvP and PvE elements. The game revolves around the “mysterious story of the Key of Skylight”.,https://www.freetogame.com/open/aero-tales-online,MMORPG,PC (Windows),Anisage Games,Anisage Games,01/08/22
529,Tower of Fantasy,"Tower of Fantasy is a 3D open-world RPG, anime-style sci-fi MMO RPG game with unique characters and beautiful open vistas!",https://www.freetogame.com/open/tower-of-fantasy,MMORPG,PC (Windows),Level Infinite,Hotta Studio,10/08/22
531,Magic Spellslingers,Magic Spellslingers is the latest entry based on Witzards of the Coast’s popular card game Magic: The Gathering.,https://www.freetogame.com/open/magic-spellslingers,Card Game,PC (Windows),Wizards of the Coast LLC,"Pipeworks Studios, Seismic Games",05/08/22
532,World of Runes,An adorable anime-style MMO featuring cute pets and collectable cards.,https://www.freetogame.com/open/world-of-runes,MMORPG,Web Browser,F5 Game Company Limited,R2 Games,13/06/22
533,A.V.A Global,"A.V.A is a free-to-play online first-person shooter with multiple game modes, unique customizations, as well as PvP and PvE gameplay.",https://www.freetogame.com/open/ava,Shooter,PC (Windows),NEOWIZ,NEOWIZ,24/08/22
534,Lost Light,A post-apocalyptic shooter built around creating a realistic experience.,https://www.freetogame.com/open/lost-light,Shooter,PC (Windows),NetEase Games,NetEase Games,04/08/22
535,Mirage Online Classic,A browser-based free-to-play spiritual successor to 2001's Mirage Online.,https://www.freetogame.com/open/mirage-online-classic,MMORPG,Web Browser,Retrelon Games,Retrelon Games,24/12/19
536,Omega Strikers,A 3v3 socccer-style game with knockouts.,https://www.freetogame.com/open/omega-strikers,Sports,PC (Windows),Odyssey Interactive,Odyssey Interactive,16/09/22
537,Gundam Evolution,A 6v6 team-based shooter based on the Gundam multiverse,https://www.freetogame.com/open/gundam-evolution,Shooter,PC (Windows),Bandai Namco,Bandai Namco,21/09/22
538,World War 3,A realistic multiplayer tactical FPS.,https://www.freetogame.com/open/world-war-3,Shooter,PC (Windows),"Wishlist Games, The 4 Winds Entertainment",The Farm 51,19/10/18
540,Overwatch 2,A hero-focused first-person team shooter from Blizzard Entertainment.,https://www.freetogame.com/open/overwatch-2,Shooter,PC (Windows),Activision Blizzard,Blizzard Entertainment,04/10/22
541,Marvel Snap,A fast paced strategy card game set in the Marvel universe.,https://www.freetogame.com/open/marvel-snap,Card Game,PC (Windows),Nuverse,"Second Dinner Studios, Inc.",18/10/22
542,World Boss,An experimental FPS based on io and roguelike gameplay.,https://www.freetogame.com/open/world-boss,Shooter,PC (Windows),Playside,Playside,19/10/22
543,Battle Arena Heroes Adventure,A MOBA with RPG elements.,https://www.freetogame.com/open/battle-arena-heroes-adventure,Strategy,Web Browser,Espirit Games,Espirit Games,19/03/18
544,Galahad 3093,A 12v12 team shooter featuring mechs based on Arthurian legend.,https://www.freetogame.com/open/galahad-3093,Shooter,PC (Windows),Simutronics Corp.,Simutronics Corp.,01/09/22
545,Fangs,A 4v4 MOBA with hero-specific strategies.,https://www.freetogame.com/open/fangs,MOBA,PC (Windows),Hidden Leaf Games,Hidden Leaf Games,30/11/22
547,Warlander,A medieval-style combat game with a selection of modes and characters.,https://www.freetogame.com/open/warlander,MOBA,PC (Windows),Plaion,Toylogic Inc.,24/01/23
549,Summoners War: Chronicles,A multi-platform ARPG set in the Summoners War universe.,https://www.freetogame.com/open/summoners-war-chronicles,MMORPG,PC (Windows),Com2uS,Com2uS,09/11/22
550,"Goose, Goose, DUCK",A social deduction game with geese.,https://www.freetogame.com/open/goose-goose-duck,Strategy,PC (Windows),"Gaggle Studios, Inc.","Gaggle Studios, Inc.",03/10/21
