id,title,description,url,genre,platform,publisher,developer,release_date
186,Double Action,A free to play FPS with bullet time and stylish kills!,https://www.freetogame.com/open/double-action,Shooter,PC (Windows),Double Action Factory ,Double Action Factory ,23/10/14
187,Pox Nora,A multiplayer online game that combines a collectible card game with a turn-based strategy game.,https://www.freetogame.com/open/pox-nora,Card Game,PC (Windows),Desert Owl Games LLC ,Desert Owl Games LLC ,15/10/14
188,Counter-Strike Nexon: Studio,What's better than Counter-Strike? Counter-Strike with more modes and Zombies!,https://www.freetogame.com/open/counter-strike-nexon,Shooter,PC (Windows),Nexon Europe GmbH,Nexon,07/10/14
189,Uncharted Waters Online,A free to play adventure MMORPG set on the high seas! ,https://www.freetogame.com/open/uncharted-waters-online,MMORPG,PC (Windows),Papaya Play ,"KOEI TECMO GAMES CO., LTD. ",03/10/14
190,Ryzom,An MMORPG where players are immersed in a massive sandbox world.,https://www.freetogame.com/open/ryzom,MMORPG,PC (Windows),Winch Gate,Nevrax,19/09/04
192,WAKFU,"A 2D tactical turn-based fantasy MMORPG developed by Ankama Games, in conjunction with Square Enix.",https://www.freetogame.com/open/wakfu,MMORPG,PC (Windows),Ankama Games,Ankama Studio,19/09/14
193,Infinity Wars,"A MMO trading card game, Build up your decks and customize them with tons of factional cards! ",https://www.freetogame.com/open/infinity-wars,Card Game,PC (Windows),Lightmare Studios,Lightmare Studios,05/09/14
195,Divine Souls,A action-based MMORPG in a fantasy world with magic and technology. ,https://www.freetogame.com/open/divine-souls,MMORPG,PC (Windows),Suba Games ,GamePrix ,15/08/14
196,Cubic Castles,A free to play 3D Platforming and a open world building game.,https://www.freetogame.com/open/cubic-castles,MMO,PC (Windows),Cosmic Cow LLC,Cosmic Cow LLC,13/08/14
198,Creativerse,"Playful Corporation enters the sandbox, voxel world with their free-to-play title Creativers.",https://www.freetogame.com/open/creativerse,MMO,PC (Windows),Playful Corporation,Playful Corporation,12/08/14
199,Royal Quest,"A free to play fantasy MMORPG game with unique PvPvE locations, PvP Arenas, Battlegrounds and Castle Sieges. ",https://www.freetogame.com/open/royal-quest,MMORPG,PC (Windows),1C Online Games ,Katauri ,06/08/14
200,Guns and Robots,A free to play online third person shooter with massive customization! ,https://www.freetogame.com/open/guns-and-robots,Shooter,PC (Windows),"Masthead Studios Ltd, Thegamewallstudios, Gamigo AG",Masthead Studios Ltd,05/08/14
203,Robocraft,A free-to-play MMO sandbox building game! ,https://www.freetogame.com/open/robocraft,MMO,PC (Windows),Freejam,Freejam,08/07/14
204,Unturned,"A independently developed free-to-play MMO survival 
game! ",https://www.freetogame.com/open/unturned,Shooter,PC (Windows),Smartly Dressed Games,Smartly Dressed Games,08/07/14
205,Elsword,A Free to Play 3D side scrolling action MMORPG with many heroes.,https://www.freetogame.com/open/elsword,MMORPG,PC (Windows),KOG Games,KOG,23/03/11
206,Aura Kingdom,Aura Kingdom is a 3D free-to-play Anime MMORPG from the same great studio that brought us Eden Eterna.,https://www.freetogame.com/open/aura-kingdom,MMORPG,PC (Windows),X-Legend,X-Legend,23/12/13
207,Warface,"A free-to-play multiplayer online FPS from Crytek, makers of the Far Cry and Crysis series of games.",https://www.freetogame.com/open/warface,Shooter,PC (Windows),Crytek,Crytek,01/07/14
209,Freestyle2: Street Basketball,A free to play MMO street basketball game. Team up with the best street ballers! ,https://www.freetogame.com/open/freestyle2-street-basketball,Sports,PC (Windows),Joycity,Joycity,20/06/14
210,Fistful of Frags,A first person shooter game set in the Wild West! ,https://www.freetogame.com/open/fistful-of-frags,Shooter,PC (Windows),Fistful of Frags Team,Fistful of Frags Team,10/05/14
211,GunZ 2: The Second Duel,A free-to-play multiplayer Third Person Shooter and follow up to the successful GunZ: The Duel. ,https://www.freetogame.com/open/gunz-2,Shooter,PC (Windows),MAIET Entertainme,MAIET Entertainme,01/05/14
212,Brawlhalla,A free-to-play 2D platform fighter inspired by the Smash Bros.,https://www.freetogame.com/open/brawlhalla,Fighting,PC (Windows),Blue Mammoth Games,Blue Mammoth Games,03/11/15
213,Archeblade,A free-to-play PvP-based multiplayer action game based on a Korean Fantasy Novel.,https://www.freetogame.com/open/archeblade,Fighting,PC (Windows),CodeBrush Games,CodeBrush Games,25/04/14
214,Villagers and Heroes,A free-to-play fantasy sandbox 3D MMORPG that has plenty to offer gamers.,https://www.freetogame.com/open/villagers-and-heroes,MMORPG,PC (Windows),Mad Otter Games,Mad Otter Games,17/04/14
215,Hex,HEX combines roleplaying aspects of a MMO with the collectible and strategic gameplay of a Trading Card Game.,https://www.freetogame.com/open/hex,Card Game,PC (Windows),"Hex Entertainment, Gameforge",Cryptozoic Entertainment,11/04/14
217,Smite,A popular free-to-play 3D MOBA where you take on the role of an ancient god.,https://www.freetogame.com/open/smite,MOBA,PC (Windows),Hi-Rez Studios,Hi-Rez Studios,25/03/14
220,Hearthstone: Heroes of Warcraft,"Blizzard's free-to-play collectible card game that 
draws its inspiration from World of Warcraft. ",https://www.freetogame.com/open/hearthstone-heroes-warcraft,Card Game,PC (Windows),Blizzard Entertainment,Blizzard Entertainment,21/01/14
221,Lucent Heart,A free to play MMORPG with a match making system that helps players find their soulmates.,https://www.freetogame.com/open/lucent-heart,MMORPG,PC (Windows),Suba Games,Playcoco (Subsidiary of Gamania),10/01/14
222,MechWarrior Online,A free-to-play PvP game that's a faithful adaptation of the popular MechWarrior strategy board games.,https://www.freetogame.com/open/mechwarrior-online,Shooter,PC (Windows),Piranha Games Inc.,Piranha Games Inc.,10/12/15
224,World of Warplanes,A free-to-play flight combat MMO brought to you by Wargaming.,https://www.freetogame.com/open/world-of-warplanes,Shooter,PC (Windows),Wargaming,Wargaming,12/11/13
225,RIFT,Trion Worlds’ flagship fantasy massively multiplayer online role-playing game.,https://www.freetogame.com/open/rift,MMORPG,PC (Windows),Trion Worlds,Trion Worlds,24/10/13
